class id,filepaths,labels,data set
0,train/ALABAMA/001.jpg,ALABAMA,train
0,train/ALABAMA/002.jpg,ALABAMA,train
0,train/ALABAMA/003.jpg,ALABAMA,train
0,train/ALABAMA/004.jpg,ALABAMA,train
0,train/ALABAMA/005.jpg,ALABAMA,train
0,train/ALABAMA/006.jpg,ALABAMA,train
0,train/ALABAMA/007.jpg,ALABAMA,train
0,train/ALABAMA/008.jpg,ALABAMA,train
0,train/ALABAMA/009.jpg,ALABAMA,train
0,train/ALABAMA/010.jpg,ALABAMA,train
0,train/ALABAMA/011.jpg,ALABAMA,train
0,train/ALABAMA/012.jpg,ALABAMA,train
0,train/ALABAMA/013.jpg,ALABAMA,train
0,train/ALABAMA/014.jpg,ALABAMA,train
0,train/ALABAMA/015.jpg,ALABAMA,train
0,train/ALABAMA/016.jpg,ALABAMA,train
0,train/ALABAMA/017.jpg,ALABAMA,train
0,train/ALABAMA/018.jpg,ALABAMA,train
0,train/ALABAMA/019.jpg,ALABAMA,train
0,train/ALABAMA/020.jpg,ALABAMA,train
0,train/ALABAMA/021.jpg,ALABAMA,train
0,train/ALABAMA/022.jpg,ALABAMA,train
0,train/ALABAMA/023.jpg,ALABAMA,train
0,train/ALABAMA/024.jpg,ALABAMA,train
0,train/ALABAMA/025.jpg,ALABAMA,train
0,train/ALABAMA/026.jpg,ALABAMA,train
0,train/ALABAMA/027.jpg,ALABAMA,train
0,train/ALABAMA/028.jpg,ALABAMA,train
0,train/ALABAMA/029.jpg,ALABAMA,train
0,train/ALABAMA/030.jpg,ALABAMA,train
0,train/ALABAMA/031.jpg,ALABAMA,train
0,train/ALABAMA/032.jpg,ALABAMA,train
0,train/ALABAMA/033.jpg,ALABAMA,train
0,train/ALABAMA/034.jpg,ALABAMA,train
0,train/ALABAMA/035.jpg,ALABAMA,train
0,train/ALABAMA/036.jpg,ALABAMA,train
0,train/ALABAMA/037.jpg,ALABAMA,train
0,train/ALABAMA/038.jpg,ALABAMA,train
0,train/ALABAMA/039.jpg,ALABAMA,train
0,train/ALABAMA/040.jpg,ALABAMA,train
0,train/ALABAMA/041.jpg,ALABAMA,train
0,train/ALABAMA/042.jpg,ALABAMA,train
0,train/ALABAMA/043.jpg,ALABAMA,train
0,train/ALABAMA/044.jpg,ALABAMA,train
0,train/ALABAMA/045.jpg,ALABAMA,train
0,train/ALABAMA/046.jpg,ALABAMA,train
0,train/ALABAMA/047.jpg,ALABAMA,train
0,train/ALABAMA/048.jpg,ALABAMA,train
0,train/ALABAMA/049.jpg,ALABAMA,train
0,train/ALABAMA/050.jpg,ALABAMA,train
0,train/ALABAMA/051.jpg,ALABAMA,train
0,train/ALABAMA/052.jpg,ALABAMA,train
0,train/ALABAMA/053.jpg,ALABAMA,train
0,train/ALABAMA/054.jpg,ALABAMA,train
0,train/ALABAMA/055.jpg,ALABAMA,train
0,train/ALABAMA/056.jpg,ALABAMA,train
0,train/ALABAMA/057.jpg,ALABAMA,train
0,train/ALABAMA/058.jpg,ALABAMA,train
0,train/ALABAMA/059.jpg,ALABAMA,train
0,train/ALABAMA/060.jpg,ALABAMA,train
0,train/ALABAMA/061.jpg,ALABAMA,train
0,train/ALABAMA/062.jpg,ALABAMA,train
0,train/ALABAMA/063.jpg,ALABAMA,train
0,train/ALABAMA/064.jpg,ALABAMA,train
0,train/ALABAMA/065.jpg,ALABAMA,train
0,train/ALABAMA/066.jpg,ALABAMA,train
0,train/ALABAMA/067.jpg,ALABAMA,train
0,train/ALABAMA/068.jpg,ALABAMA,train
0,train/ALABAMA/069.jpg,ALABAMA,train
0,train/ALABAMA/070.jpg,ALABAMA,train
0,train/ALABAMA/071.jpg,ALABAMA,train
0,train/ALABAMA/072.jpg,ALABAMA,train
0,train/ALABAMA/073.jpg,ALABAMA,train
0,train/ALABAMA/074.jpg,ALABAMA,train
0,train/ALABAMA/075.jpg,ALABAMA,train
